platform,komentar,timestamp,sentimen,komentar_clean
YouTube,"Dari Dulu Pemain Lokal jg udh memenuhi skuad kok, kalau ga diaspora mau sampai kapan kita hanya mampu bersaing di aff saja? mau stuck trs? twolol",1 tahun yang lalu (diedit),,main lokal jg udh penuh skuad ga diaspora saing aff stuck trs twolol
YouTube,Lu liat TIMNAS Prancis pemain lokalnya cuman siRabiot doank,1 tahun yang lalu,,lu liat timnas prancis main lokal cuman sirabiot doank
YouTube,Kelebihan sty adalah saat dia memilih pemain keturunan tdk semua pelatih bisa melakukan  melakukan itu semua,1 tahun yang lalu,,lebih sty pilih main turun tdk latih
YouTube,hahahah mw brp tahun lagi liat klo cm talenta talenta lokal untuk ronde 3 akan ada pembantaian besar besaran,1 tahun yang lalu,,hahahah mw brp liat klo cm talenta talenta lokal ronde bantai besar
YouTube,masi tolot ni towel .lu mau cari duit di PSSI hancur nanti PSSI kamu ikut capur di PSSI tidak husah ikut campur . ini hurusan  Negara,1 tahun yang lalu,,mas tolot ni towel lu cari duit pssi hancur pssi capur pssi husah campur hurusan negara
YouTube,Adu main bola saja lah dilapangan jangan mbacot mulu lh,1 tahun yang lalu,,adu main bola lapang mbacot mulu lh
YouTube,Si Towel mau nya apa sih?,1 tahun yang lalu,,si towel nya sih
YouTube,Kalau kompetisi liga indonesia  sudah bisa bersaing di Afc boleh lah beragumen,1 tahun yang lalu,,kompetisi liga indonesia saing afc beragumen
YouTube,Si towel itu mafia bolla mkanya ngak suka spk bola maju,1 tahun yang lalu,,si towel mafia bolla mkanya ngak suka spk bola maju
YouTube,itu yang gendut siapa,1 tahun yang lalu,,gendut
YouTube,Towel  hebat jd pelatih bs kh,1 tahun yang lalu,,towel hebat jd latih bs kh
