platform,komentar,timestamp,sentimen
YouTube,Tolong lah si towel jngn di kasi panggung lagi tolong !!! Perusak towel itu,1 tahun yang lalu,
YouTube,Koplo,1 tahun yang lalu,
YouTube,Towel...ngapain sih...,1 tahun yang lalu,
YouTube,Towel tu ko ngotot bngt..kl saya yg jd bung hamdan..udah t tonjok bung towel,1 tahun yang lalu,
YouTube,"keliatan muka"" yang pemikirannya maju",1 tahun yang lalu,
YouTube,Aneh metro tv ngundang pengamat politik bahas bola kaga nyambung,1 tahun yang lalu,
YouTube,"intinya si kawan gak dapat jatahn titipan pemain dan gak bisa lagi bermain mafia hahah ,,",1 tahun yang lalu,
YouTube,"Si handuk mengkritisi pernyataan StY kalau pemain indonesia mental takut sebelum bertanding kalau kegemu negara2 kuat, lah emang begitu kenyataan nya handuk dr dulu indonesia selalu inferior ketemu2 negara lebih kuat Thailand, Vietnam di Zona Asean, liat sekarang bagaimana Indonesia mental nya naik setelah ketemu lawan2 dr Asia .... Handuk handuk justru loe yg keliatan memecah velah dengan pernyataan loe kalau indonesia sekarang jadi berubah krna StY atau Progres Naturalisasi",1 tahun yang lalu,
YouTube,ini gendut satu terlalu gaya omong mcam yg paham sepakbola saja,1 tahun yang lalu,
YouTube,Itu betul karena pemain nya pada ego gak bisa mencontoh,1 tahun yang lalu,
YouTube,Karena towel ini orang begoktentang bola jangan di dengar TOWEL ITU,1 tahun yang lalu,
YouTube,Nama nya aja towel gak usah di dengar karena ia gak mau negara indonesia maju dasar begok lu,1 tahun yang lalu,
YouTube,Jurus meniru atau ikut ikutan 😢 Kakashi saringgan 😢😢,1 tahun yang lalu,
YouTube,Kalau enak di lanjutkan kalau gak enak di tinggalkan 😢,1 tahun yang lalu,
YouTube,Hidup itu mau senang bukan mau susah 😢😢😢😢😢,1 tahun yang lalu,
YouTube,Simuka komodo itu,1 tahun yang lalu,
YouTube,"Hrs sadar pemaen lokal sulit utk berprestasi,tpi gak sadar.Perlu ada pemaen dr Naturalisasi",1 tahun yang lalu,
YouTube,Towel itu nggk ngerti tp sok ngerti ..jngn sok mengkritis kalau nggk ngerti ..anda mau indonesia itu nggk berkembang ..andacnggk ngerti towel,1 tahun yang lalu,
YouTube,Bung towel nggk perna sekola tu  jadi nggk ngerti kalau kalah siapa yang di salah kan ..anda dulu sekolah ..kalau pintar siapa yang di puji ..anda kan bung towel kalau anda bodoh aiapa yang di cecar guru kan ..anda egois towel,1 tahun yang lalu,
YouTube,Towel kayak bab.,1 tahun yang lalu,
YouTube,"Towel paling pandai memutar2 omongan yg intinya memojokan,tpdia sendiri sebenarnya gk ngerti apa itu sepak bola,ibarat tong kosong nyaring bunyinya",1 tahun yang lalu,
YouTube,"Toel sok paling paham timnas,kapasitas cuma megang kamera aja banyak bacot ,",1 tahun yang lalu,
YouTube,"Mereng amat otak si towell,",1 tahun yang lalu,
YouTube,Towel towel aaaaahhhhhh,1 tahun yang lalu,
YouTube,"YANG NGERTI BOLA CUMA PAK HAMDAN, YANG LAIN MAH PEMAIN POLITIK SEMUA😅😅😅😅",1 tahun yang lalu,
YouTube,Terbukti kan . Bahwa pengamat beda tipis dengan Profokator... Tipissss banget,1 tahun yang lalu,
YouTube,"Udah diKasih paham sama Bang Hamdan tapi gak paham juga, angel wess angel, karepmu 😂😂😂 Bravo PSSI ❤",1 tahun yang lalu,
YouTube,Si towel itu mafia. 😅,1 tahun yang lalu,
YouTube,Maunya di towel tuh orang sok pinter,1 tahun yang lalu,
YouTube,"Senang dengar debat ini, ada yg cari panggung karna sudah gak punya panggung lagi. Ada yg berfikir utk kemajuan Timnas Indoensia jauh ke depan.

Kami rakyat indonesia ini sudah lama kelaparan, jadi butuh asupan makanan. Mau singkong atau keju pasti kai makan  Faham gak ... 😂😂",1 tahun yang lalu (diedit),
YouTube,"Hamdan mantap Bahasa Nya Cerdas Sangat Berpendidikan.
Pantes Bahasa Nya Bagus. Towel Mah Mana Bisa",1 tahun yang lalu,
YouTube,Towel ah ngmong apa si nga jls,1 tahun yang lalu,
YouTube,TOL,1 tahun yang lalu,
YouTube,"Pak Hamdan the best,pengetahuanya gilakkk... keren",1 tahun yang lalu,
YouTube,Pengamat lebih pinter daripada manejemen tim sama artiya penonton lebih pinter daripada pemain,1 tahun yang lalu (diedit),
YouTube,Coba adu kecerdasan kasi si towel tim satu sty satu trs adu,1 tahun yang lalu,
YouTube,Towel ngomong dengan kebencian.,1 tahun yang lalu,
YouTube,Boikot media yang ngundang nih badut van towel,1 tahun yang lalu,
YouTube,Media perusuh ya undang perusuh juga yaitu towel,1 tahun yang lalu,
YouTube,Towel gonggong mulu kyk a**,1 tahun yang lalu,
YouTube,"Lanjutkan bg hamdan mereka adalah anak Indonesia,ngapain dengarin orang yg gak penting yg gak ingin Indonesia maju....",1 tahun yang lalu,
YouTube,"Org ini emg aneh , suport lah timnas masa timnas ada oposisi kan lucu😅",1 tahun yang lalu,
YouTube,Yang penting kami cinta timnas.  Pemain keturunan pun kami cinta,1 tahun yang lalu,
YouTube,Towel lagi towel lagi huuuuuuuuuuuuuuuuu,1 tahun yang lalu,
YouTube,TOWELLLLL...WAKTU LOE DI PSSI PRESTASI LOE APA NYETTTTTT..,1 tahun yang lalu,
YouTube,"Kadang lucu banget nih orang, tidak melihat diri sendiri dicermin.
Sering mengkritik kinerja PSSI dalam mengelola timnas dan juga Liga Indonesia setelah pak Erick Tohir menjabat, lalu dia waktu dulu menjabat Direktur Kompetisi PSSI 2013-2016 dan General Manager Football Development PSSI 2014-2015 ngapain aja kerjanya??  

Disaat timnas sedang merangkak untuk bangkit, dia kayanya tidak sedang timnas untuk maju
lebih senang melihat timnas masih di dasar kubangan

bung towel adalah rocky gerung-nya sepakbola Indonesia",1 tahun yang lalu,
YouTube,"KASIAN BANGET BUNG HAMD, KEK LG NGOBROL SAMA BOCIL",1 tahun yang lalu,
YouTube,ngapain towel dikasih panggung ?,1 tahun yang lalu,
YouTube,Bung towel adalah gambaran pemikiran sepak bola buruk di masa lalu,1 tahun yang lalu,
YouTube,Towel lu tuh cma pengamat sepak bola.. kebanyakan cingcong mulutlu tuh busuk..,1 tahun yang lalu,
YouTube,"Ini metro nyari rating ya ???? 
Knapa msi kasih panggung k ""orang""  Gak ada sumbangsih dan cuma kritik menjatuhkan",1 tahun yang lalu,
YouTube,Cara bicara pak hamdan mnunjukkan kelasnya. Tobel mnjungkkan iri hatinya,1 tahun yang lalu,
YouTube,"Towel,tambah memperumit keadaan,saat ini kita harus manfaatkan kesempatan untuk masuk piala dunia. Makanya towel jangan di layani,ngawur.",1 tahun yang lalu,
YouTube,"Si towel sok nasionalis, tapi sesungguhnya kepentinganya terganggu sbg seorang mavia !",1 tahun yang lalu,
YouTube,"kekurangan Narasumber Ya. ?
orang Politik jadi Narasumber",1 tahun yang lalu,
YouTube,"Towel kalau masih mempermasalahkan warga negara keturunan bangsa Indonesia di luar negri kemudian dia kembali menjadi warga negara Indonesia dan ingin memajukan persepakbolaan di tanah leluhurnya, Indonesia, mengapa tidak boleh  ??? Bukankah itu pekerjaan yang mulya ??? Toh mereka semua sekarang adalah merupakan warga negara kita juga, warga negara Indonesia !!! Mengapa masih harus terus dipermasakan ??? Kalau begitu Towel diskriminatif dan bisa dikatakan berjiwa rasis, dengan membeda bedakan antara pemain lokal dan pemain naturalisasi..........🤦",1 tahun yang lalu,
YouTube,"Towel banyak bacot gak bisa jestip pemain dia,dari omongannya aja memecah belah,TAIIII",1 tahun yang lalu,
YouTube,"Sehat² pak hamdan, sumpah keren banget beliau mentalnya ngadepin orang² yang aneh banget",1 tahun yang lalu,
YouTube,"Jawaban pak hamdan terlalu berbobot, dan sulit  dimengerti untuk TOWEL dan kawan kawan. karena mereka hanya cuma berbicara berdasarkan mulut saja tp tak memakai isi dalam kepala.",1 tahun yang lalu,
YouTube,Pengen dupak cangkeme towel,1 tahun yang lalu,
YouTube,Towel selalu asal nyablak..,1 tahun yang lalu,
YouTube,Towel towel🤮🤮🤮🤮,1 tahun yang lalu,
YouTube,Braninya kroyokan lo,1 tahun yang lalu,
YouTube,Bung towel kesel nglamar jadi platih ditolak,1 tahun yang lalu,
YouTube,selain hamdan itu lencung semua,1 tahun yang lalu,
YouTube,Sih towel perpcaH belah,1 tahun yang lalu,
YouTube,Enak nya tuh bacot sih towel. Udh aja main sih towel.,1 tahun yang lalu,
YouTube,Kesini pengen nonton badut wel dgan penuh ketololannya dan muka tembok 😂,1 tahun yang lalu,
YouTube,"Towel ini bukan pengamat sepak bola, tp pengamat shin tae young",1 tahun yang lalu,
YouTube,Rasah ngurusi towel,1 tahun yang lalu,
YouTube,"Orang seperti troel masih saja diberi panggung dan di pelihara oleh tv padahal yang tajam hanya mulutnya saja, omongannya tidak mendidik cenderung memecah belah bangsa indonesia",1 tahun yang lalu (diedit),
YouTube,Sebagus apapu pelatih sty kalau udah benci susah...,1 tahun yang lalu,
YouTube,Kecewa dengan media...,1 tahun yang lalu,
YouTube,Towel...coba kasi pemain bs nggak melatih mereka?,1 tahun yang lalu,
YouTube,Sty ngasih vitamin ke pemain loe towel ngasih racun ngomng ga nyambung masih ngebeut banget sty di pecat loe siapa yg punya PSSI malu dong masih ngeles masalah omongan sty aj malu loe diliat ditonton masyarakat Indonesia,1 tahun yang lalu,
YouTube,Semua tau towel orang bodoh,1 tahun yang lalu,
YouTube,"Kelas pak hamdan😂😂 jawabannya tenang dan sesuai fakta data, sisanya iyain aja percuma, yg dibahas ituitu aja, kayak bukan pengamat lawak wkwk",1 tahun yang lalu,
YouTube,Wel towel,1 tahun yang lalu,
YouTube,"Kasian bang hamdan Hamedan di keroyok manusia"" Yg gk suka timnaas lebih baik.. Padahal Faktanya masyarakat sangat mendukung penuh atas pencapaian timnas saat ini",1 tahun yang lalu,
YouTube,"Sekali kali Towel suruh debat Langsung sama pak Erik Tohir,, gedeg bngt gua sama Ai Towel",1 tahun yang lalu,
YouTube,"I'm Singapore..
Pertanyaan saya , timnas udah 70 tahun , masa trophy 1 aja ngk ada????? Minimal punya AFF boss.. ngk usah kejar mimpi world cup boss.. AFF AJA NGK LEPAS.. malu dikit udah 70 tahun boss timnas masa 0 TROPHY.. PARAH NI NEGARA KONOHA",1 tahun yang lalu,
YouTube,kirain si towel udah msuk rs jiwa,1 tahun yang lalu,
YouTube,Metro tolong bung towel jangan kasih panggung. Tv yg lain Uda g ngundang orang ini,1 tahun yang lalu,
YouTube,Towel keluar lah dari indo.pusing liat bacotya😅😅😂😂,1 tahun yang lalu,
YouTube,"Negara Lain Aja Pada Pake Pemain Naturalisasi kok.
Kenapa timnas dan teruntuk pssi menggunakan naturalisasi dan efeknya bagus untuk timnas dan nyata bagus hasilnya kenapa malah ada yang kritik ga setuju lah ini lah itu lah minta sty out lah.. Emang benar kata pak soekarno perjuangan nya lebih mudah karna melawan penjajah tapi perjuangan kita lebih berat karna melawan bangsamu sendiri..",1 tahun yang lalu,
YouTube,Towel org bangla banyk omon2,1 tahun yang lalu,
YouTube,Bung Towel kelihatannya tidak anti Naturalisasi tapi sepertinya beliau lebih tidak menyukai STY,1 tahun yang lalu,
YouTube,Bung towel itu hatinya mati,1 tahun yang lalu,
YouTube,Towel stress,1 tahun yang lalu,
YouTube,Towel .....,1 tahun yang lalu,
YouTube,Sama TOWEL juga di kritisi jg ngeles dan banyak pembenaran argumentnya...dan tidak bermutu dan berwalitas kritisi SI TOWEL...kami bukan orang bodoh rakyat / suporter TIMNAS ...mbak mas metro tv bilang saja towel tdk kebagian kedudukan di pssi makanya cari sensasional .....😂😂😂😂😅,1 tahun yang lalu,
YouTube,"""Kayaknya"" bung towel bukan menentang naturalisasinya,tapi ketidaksukaan terhadap STY",1 tahun yang lalu,
YouTube,Saya yakin towel setuju dengan Hamdan hamedan tp terlanjur gengsi,1 tahun yang lalu,
